Species,Type,Team,Weight (lbs),Length (in),Girth (in),Points,Time of Catch
Sailfish,Catch & Release,Sea Señora,0,0,0,100,"07:32 PM, Jul 18th 2025"
Sailfish,Catch & Release,See-Mah,0,0,0,100,"03:52 PM, Jul 18th 2025"
Dorado,Meatfish,Sigsbee Deep,12,36.5,1,12,"04:04 PM, Jul 19th 2025"
Dorado,Meatfish,Freebird,10.0,32.25,1,10,"03:40 PM, Jul 19th 2025"
White Marlin,Catch & Release,Game Plan,0,0,0,150,"04:35 PM, Jul 17th 2025"
Sailfish,Catch & Release,Unstable,0,0,0,100,"12:27 PM, Jul 18th 2025"
Sailfish,Catch & Release,Desperado,0,0,0,100,"09:06 AM, Jul 18th 2025"
Sailfish,Catch & Release,Sigsbee Deep,0,0,0,100,"07:07 AM, Jul 19th 2025"
Sailfish,Catch & Release,Desperado,0,0,0,100,"07:15 AM, Jul 18th 2025"
Dorado,Meatfish,Overnight Celebrity,5,25,1,5,"01:36 PM, Jul 19th 2025"
Dorado,Meatfish,Sea Señora,11,34,1,11,"04:10 PM, Jul 19th 2025"
Sailfish,Catch & Release,Sashimi,0,0,0,100,"05:46 PM, Jul 17th 2025"
Sailfish,Catch & Release,Sigsbee Deep,0,0,0,100,"05:34 PM, Jul 18th 2025"
Sailfish,Catch & Release,Reelity Check,0,0,0,100,"11:22 AM, Jul 18th 2025"
Sailfish,Catch & Release,The Edge,0,0,0,100,"05:13 PM, Jul 18th 2025"
White Marlin,Catch & Release,Miss Catherine,0,0,0,150,"10:24 AM, Jul 18th 2025"
Sailfish,Catch & Release,Unstable,0,0,0,100,"01:08 PM, Jul 19th 2025"
Sailfish,Catch & Release,Sea Señora,0,0,0,100,"01:05 PM, Jul 19th 2025"
Sailfish,Catch & Release,La Belle,0,0,0,100,"07:34 PM, Jul 18th 2025"
Blue Marlin,Catch & Release,Big Trouble,0,0,0,300,"08:38 PM, Jul 18th 2025"
White Marlin,Catch & Release,Sigsbee Deep,0,0,0,150,"07:27 AM, Jul 19th 2025"
Sailfish,Catch & Release,Mi Novia,0,0,0,100,"03:44 PM, Jul 17th 2025"
Wahoo,Meatfish,Liquid Asset,21.5,29.5,1,21,"02:54 PM, Jul 19th 2025"
White Marlin,Catch & Release,Sea Señora,0,0,0,150,"03:17 PM, Jul 18th 2025"
Sailfish,Catch & Release,The Edge,0,0,0,100,"11:44 AM, Jul 18th 2025"
Dorado,Meatfish,Backlash,9.5,32,1,9,"04:19 PM, Jul 19th 2025"
